url_num,code,content-length,ms,hit/miss,cdn,isp
1,200,8137,518.265008926392,MISS,akamai,twcny
1,200,8137,82.2091102600098,HIT,akamai,twcny
2,200,218554,344.251871109009,MISS,akamai,twcny
2,200,218554,353.343963623047,HIT,akamai,twcny
3,200,218554,327.74806022644,HIT,akamai,twcny
4,200,11656,134.609937667847,MISS,akamai,twcny
4,200,11656,87.2359275817871,HIT,akamai,twcny
5,200,15608,158.920049667358,MISS,akamai,twcny
5,200,15608,107.160091400146,HIT,akamai,twcny
6,200,15608,102.596998214722,HIT,akamai,twcny
7,200,44959,187.10994720459,MISS,akamai,twcny
7,200,44959,178.776979446411,HIT,akamai,twcny
8,200,30196,188.529014587402,MISS,akamai,twcny
8,200,30196,130.213022232056,HIT,akamai,twcny
9,200,34888,182.943105697632,MISS,akamai,twcny
9,200,34888,149.650096893311,HIT,akamai,twcny
10,200,34720,178.902864456177,MISS,akamai,twcny
10,200,34720,157.425880432129,HIT,akamai,twcny
11,200,34720,133.795976638794,HIT,akamai,twcny
12,200,49273,220.298051834106,MISS,akamai,twcny
12,200,49273,176.064014434814,HIT,akamai,twcny
13,200,49273,188.215970993042,HIT,akamai,twcny
14,200,32032,189.947128295898,MISS,akamai,twcny
14,200,32032,134.567975997925,HIT,akamai,twcny
15,200,32032,145.523071289062,HIT,akamai,twcny
16,200,3092,102.225065231323,MISS,akamai,twcny
16,200,3092,57.8889846801758,HIT,akamai,twcny
17,200,3092,53.5018444061279,HIT,akamai,twcny
18,200,131943,309.195995330811,MISS,akamai,twcny
18,200,131943,273.705005645752,HIT,akamai,twcny
19,200,7739,132.552146911621,MISS,akamai,twcny
19,200,7739,79.1499614715576,HIT,akamai,twcny
20,200,5605,121.120929718018,MISS,akamai,twcny
20,200,5605,54.7580718994141,HIT,akamai,twcny
21,200,6590,107.203006744385,MISS,akamai,twcny
21,200,6590,61.9637966156006,HIT,akamai,twcny
22,200,18709,158.915042877197,MISS,akamai,twcny
22,200,18709,109.302043914795,HIT,akamai,twcny
23,200,6052,105.19003868103,MISS,akamai,twcny
23,200,6052,55.5341243743896,HIT,akamai,twcny
24,200,15348,148.669958114624,MISS,akamai,twcny
24,200,15348,105.040073394775,HIT,akamai,twcny
25,200,13694,155.879020690918,MISS,akamai,twcny
25,200,13694,82.6020240783691,HIT,akamai,twcny
