isp,cdn,content_length,stdev
twcny,akamai,0,28.739257
twcny,akamai,1000,63.876827
twcny,akamai,2000,84.257005
twcny,akamai,3000,74.595023
twcny,akamai,4000,93.152729
twcny,akamai,5000,104.321809
twcny,akamai,6000,92.831557
twcny,akamai,7000,105.526997
twcny,akamai,8000,100.139264
twcny,akamai,9000,108.587920
twcny,akamai,10000,104.197111
twcny,akamai,11000,87.814818
twcny,akamai,12000,88.569812
twcny,akamai,13000,124.730840
twcny,akamai,14000,110.574612
twcny,akamai,15000,139.566072
twcny,akamai,16000,121.520714
twcny,akamai,17000,156.241593
twcny,akamai,18000,76.327206
twcny,akamai,19000,78.602766
twcny,akamai,20000,82.606098
twcny,akamai,21000,45.038220
twcny,akamai,22000,53.475324
twcny,akamai,23000,126.663884
twcny,akamai,24000,63.565885
twcny,akamai,25000,113.990668
twcny,akamai,26000,64.274307
twcny,akamai,27000,89.685087
twcny,akamai,28000,102.141288
twcny,akamai,29000,75.418295
twcny,akamai,30000,115.471619
twcny,akamai,31000,106.472342
twcny,akamai,32000,108.873478
twcny,akamai,33000,141.736736
twcny,akamai,34000,79.553728
twcny,akamai,35000,162.582688
twcny,akamai,36000,112.492412
twcny,akamai,37000,101.940750
twcny,akamai,38000,90.195361
twcny,akamai,39000,160.394547
twcny,akamai,40000,86.604958
twcny,akamai,41000,57.910113
twcny,akamai,42000,125.362592
twcny,akamai,43000,38.177334
twcny,akamai,44000,171.187595
twcny,akamai,45000,37.999232
twcny,akamai,46000,85.850754
twcny,akamai,47000,37.635306
twcny,akamai,48000,87.693804
twcny,akamai,49000,163.252036
twcny,akamai,50000,53.957276
twcny,akamai,51000,177.013942
twcny,akamai,52000,128.570659
twcny,akamai,53000,74.474325
twcny,akamai,54000,28.171500
twcny,akamai,55000,144.136367
twcny,akamai,56000,150.812844
twcny,akamai,57000,34.130684
twcny,akamai,58000,36.689214
twcny,akamai,59000,60.207720
twcny,akamai,60000,105.973536
twcny,akamai,61000,241.054792
twcny,akamai,62000,145.557918
twcny,akamai,63000,140.183519
twcny,akamai,64000,126.254693
twcny,akamai,65000,32.107221
twcny,akamai,66000,48.278463
twcny,akamai,67000,39.280280
twcny,akamai,68000,159.619711
twcny,akamai,69000,133.186727
twcny,akamai,70000,122.081256
twcny,akamai,71000,253.616938
twcny,akamai,72000,291.484370
twcny,akamai,73000,165.354374
twcny,akamai,74000,136.138604
twcny,akamai,75000,61.695622
twcny,akamai,76000,143.730066
twcny,akamai,77000,142.140599
twcny,akamai,78000,80.631195
twcny,akamai,79000,104.775272
twcny,akamai,80000,35.640415
twcny,akamai,81000,49.479858
twcny,akamai,82000,52.728708
twcny,akamai,83000,28.953071
twcny,akamai,84000,130.436523
twcny,akamai,85000,44.158259
twcny,akamai,86000,56.287010
twcny,akamai,87000,43.072649
twcny,akamai,88000,27.557868
twcny,akamai,89000,124.103376
twcny,akamai,90000,29.724695
twcny,akamai,91000,79.488910
twcny,akamai,92000,49.889235
twcny,akamai,93000,53.111218
twcny,akamai,94000,153.681482
twcny,akamai,95000,87.755485
twcny,akamai,96000,27.962749
twcny,akamai,97000,31.306992
twcny,akamai,98000,158.682788
twcny,akamai,99000,38.059419
twcny,akamai,100000,54.613410
twcny,akamai,101000,24.300899
twcny,akamai,102000,48.804417
twcny,akamai,103000,58.930709
twcny,akamai,104000,31.296074
twcny,akamai,105000,188.430115
twcny,akamai,106000,198.736863
twcny,akamai,107000,29.050849
twcny,akamai,109000,64.700328
twcny,akamai,110000,30.071047
twcny,akamai,111000,52.981693
twcny,akamai,112000,93.142091
twcny,akamai,113000,39.062847
twcny,akamai,114000,17.716168
twcny,akamai,115000,36.021126
twcny,akamai,116000,38.546141
twcny,akamai,117000,42.317068
twcny,akamai,118000,40.461624
twcny,akamai,119000,35.673003
twcny,akamai,120000,32.859690
twcny,akamai,121000,32.454887
twcny,akamai,122000,25.600469
twcny,akamai,123000,214.044388
twcny,akamai,124000,278.740353
twcny,akamai,125000,29.643372
twcny,akamai,126000,40.809362
twcny,akamai,127000,205.504805
twcny,akamai,128000,71.394101
twcny,akamai,129000,20.215571
twcny,akamai,130000,185.990698
twcny,akamai,131000,35.851607
twcny,akamai,132000,93.025560
twcny,akamai,133000,36.603405
twcny,akamai,134000,27.066578
twcny,akamai,135000,151.396811
twcny,akamai,136000,32.530553
twcny,akamai,137000,64.426781
